title,price,cluster,min_distance_to_true,is_suspicious
"Окружающий мир 3 класс. Рабочая тетрадь в 2-х частях. Комплект из 2-х тетрадей. ФГОС. УМК ""Школа России"" | Плешаков Андрей Анатольевич",648.0,1,0.0,False
"Русский язык 1 класс. Учебник к новому ФП. УМК Школа России. ФГОС | Канакина Валентина Павловна, Горецкий Всеслав Гаврилович",1008.0,1,9.536743e-07,True
"Математика 6 класс. Базовый уровень. Учебник. Комплект из 2-х частей к новому ФП. ФГОС | Виленкин Наум Яковлевич, Чесноков Александр Семенович",1711.0,1,0.0,False
"География 5-6 классы. Учебник к новому ФП. УМК ""География. Полярная звезда"". ФГОС | Николина Вера Викторовна, Липкина Елена Карловна",1333.0,1,0.0,False
"Информатика 5 класс. Учебное пособие |  Босова Л. Л., Босова Анна Юрьевна",1357.0,1,0.0,False
"Физика 7 класс. Базовый уровень. Учебник. ФГОС | Иванов А. И., Перышкин И. М.",1145.0,1,0.0,False
"История Древнего мира 5 класс | Вигасин Алексей Алексеевич, Годер Георгий Израилевич",1239.0,1,0.0,False
География 7 класс. Атлас и контурные карты. С новыми регионами РФ к новому ФП. ФГОС,425.0,1,0.0,False
Города.РФ: городская экономика для практиков,1721.0,2,0.0,False
Прописи по математике 6-7 лет. Рабочая тетрадь. Часть 1. ФГОС ДО | Шевелев Константин Валерьевич,231.0,1,0.0,False
"Биология 5 класс. Базовый уровень. Учебник к новому ФП. УМК ""Линия жизни"". ФГОС | Пасечник Владимир Васильевич, Суматохин Сергей Витальевич",1181.0,1,0.0,False
"Вероятность и статистика 7-9 классы. Базовый уровень. Учебник к новому ФП. Комплект в 2-х частях | Высоцкий Иван Ростиславович, Ященко Иван Валериевич",1292.0,1,0.0,False
Математика 4 класс. Самостоятельные и контрольные работы. Углубленный уровень. Комплект из 2-х частей,664.0,1,0.0,False
Математика 2 класс. Самостоятельные и контрольные работы. Углубленный уровень. Комплект из 2-х частей,664.0,1,0.0,False
"От земли до неба. Атлас-определитель1-4 классы. УМК ""Зеленый дом (Школа России)"" | Плешаков Андрей Анатольевич",789.0,1,0.0,False
Русский язык. Тетрадь учебных достижений. 1 класс ФГОС | Канакина Валентина Павловна,297.0,2,0.0,False
"Сказочная Математика для детей 6-7 лет. ФГОС ДО | Петерсон Людмила Георгиевна, Кочемасова Елена Евгеньевна",367.0,1,0.0,False
"Геометрия 10-11 класс. Учебник. Базовый и профильный уровни | Атанасян Левон Сергеевич, Киселева Людмила Сергеевна",1146.0,1,0.0,False
"Математика 2 класс. Проверочные работы к новому ФП. УМК ""Школа России"". ФГОС | Волкова Светлана Ивановна",355.0,1,0.0,False
Энциклопедия интеллекта. Рабочая тетрадь для детей 6-7 лет. ФГОС ДО | Шевелев Константин Валерьевич,349.0,1,0.0,False
География 9 класс. Атлас. Учись быть первым! С новыми регионами РФ (к новому ФП). ФГОС,359.0,1,9.536743e-07,True
Всеобщая история. История Средних веков. Рабочая тетрадь. 6 класс ФГОС | Крючкова Е. А.,271.0,2,0.0,False
География 8 класс. Атлас с новыми регионами РФ к новому ФП. ФГОС,337.0,1,0.0,False
Веселая грамматика для детей 5-7 лет. Рабочая тетрадь | Колесникова Елена Владимировна,230.0,1,1.3486991e-06,True
История древнего мира 5 класс. Рабочие тетради к новому ФП. Комплект из 2-х частей | Годер Георгий Израилевич,470.0,1,0.0,False
Букварь очень занятой мамы. Читаем сразу! | Данилова Юлия Георгиевна,720.0,1,0.0,False
"Русский язык 1 класс. Рабочая тетрадь к новому ФП. УМК ""Школа России"". ФГОС | Канакина Валентина Павловна",336.0,1,0.0,False
"Английский язык 5 класс. Рабочая тетрадь к новому ФП. УМК ""Английский в фокусе"". ФГОС | Ваулина Юлия Евгеньевна, Подоляко Ольга Евгеньевна",635.0,1,9.536743e-07,True
"Русский язык 1 класс. Проверочные работы к учебнику В.П. Канакиной. УМК ""Школа России"". ФГОС | Канакина Валентина Павловна",165.0,1,0.0,False
Контурные карты по Истории России 8 класс. XVII - XVIII век. Новый историко-культурный стандарт. ФГОС,231.0,1,9.536743e-07,True
"География 8-9 классы. Атлас и Контурные карты (к новому ФП) с новыми регионами РФ.УМК ""Полярная звезда"". ФГОС | Петрова М. В., Матвеев Алексей Владимирович",543.0,1,0.0,False
Математика 3 класс. Углубленный уровень. Рабочая тетрадь. Комплект в 3-х частях,872.0,1,0.0,False
"Химия 8 класс. Задачник. ФГОС | Кузнецова Нинель Евгеньевна, Левкин Антон Николаевич",591.0,1,0.0,False
География 9 класс. Атлас с новыми регионами РФ к новому ФП. ФГОС,337.0,1,9.536743e-07,True
"Биология 5 класс. Рабочая тетрадь к новому ФП. Базовый уровень. УМК ""Линия жизни"". ФГОС | Пасечник Владимир Васильевич",413.0,1,0.0,False
"Математика 6 класс. Учебное пособие к новому ФП. УМК ""Математика Мерзляка А.Г., Полонского В.Б."" | Мерзляк Аркадий Григорьевич",1050.0,1,1.3486991e-06,True
"Математика 6 класс. Рабочая тетрадь. Комплект из 3-х частей. УМК""Математика. Мерзляк и др.(5-6)(Алгоритм успеха)"". ФГОС | Мерзляк Аркадий Григорьевич, Полонский Виталий Борисович",901.0,1,0.0,False
Дорисуй и раскрась. Рабочая тетрадь для детей 4-5 лет | Колесникова Елена Владимировна,239.0,1,0.0,False
Русский язык. 9 класс. Рабочая тетрадь. Часть 2. ФГОС | Бондаренко М. А.,269.0,2,0.0,False
"Русский язык 3 класс. Проверочные работы. ФГОС. УМК ""Школа России"" | Канакина Валентина Павловна",377.0,1,0.0,False
Прописи по математике. Рабочая тетрадь для дошкольников 6-7 лет. Часть 2. ФГОС ДО | Шевелев Константин Валерьевич,235.0,1,0.0,False
История России 6 класс. Контурные карты. ФГОС | Тороп Валерия Валерьевна,230.0,1,0.0,False
"Математика. Рабочая тетрадь. 2 класс. Часть 2 (Школа России) | Моро Мария Игнатьевна, Волкова Светлана Ивановна",223.0,2,0.0,False
Химия. 8 класс. Базовый уровень. Рабочая тетрадь ФГОС | Габриелян Олег Сергеевич,383.0,2,0.0,False
Готовимся к школе. Рабочая тетрадь для детей 5-6 лет. Часть 2. ФГОС ДО | Шевелев Константин Валерьевич,256.0,1,0.0,False
"Геометрия 7-9 классы. Базовый уровень. Учебник к новому ФП. УМК ""Геометрия. Атанасян Л.С."". ФГОС | Атанасян Левон Сергеевич, Бутузов Валентин Федорович",1295.0,1,0.0,False
"Литературное чтение 3 класс. Рабочая тетрадь к новому ФП. УМК ""Школа России"". ФГОС | Бойкина Марина Викторовна, Виноградская Людмила Андреевна",445.0,1,0.0,False
"Игралочка: математика для дошкольников 4-5 лет. Часть 2. ФГОС ДО | Петерсон Людмила Георгиевна, Кочемасова Елена Евгеньевна",338.0,1,0.0,False
"География 7 класс. Атлас и Контурные карты (к новому ФП) с новыми регионами РФ. УМК ""Полярная звезда"". ФГОС | Есипова И. С., Матвеев Алексей Владимирович",406.0,1,1.3486991e-06,True
"Сборник задач по Алгебре 8-9 классы | Галицкий Михаил Львович, Гольдман Александр Михайлович",661.0,1,0.0,False
"География 5-6 классы. Атлас (к новому ФП). С новыми регионами РФ. УМК ""Полярная звезда"". ФГОС",363.0,1,0.0,False
"Математика. Летние задания. Переходим в 4-й класс. УМК ""Школа России"" | Светин Андрей Валентинович",299.0,1,0.0,False
"Набор рабочих тетрадей Русский язык, Математика, Окружающий мир 3 класс. Комплект из 6 штук. УМК ""Школа России"". ФГОС | Канакина Валентина Павловна, Моро Мария Игнатьевна",1375.0,1,9.536743e-07,True
Готовимся к школе. Рабочая тетрадь для детей 5-6 лет. Часть 1 | Шевелев Константин Валерьевич,256.0,1,0.0,False
"Математика 5 класс. Учебное пособие к новому ФП. УМК ""Математика Мерзляка А.Г."". ФГОС | Мерзляк Аркадий Григорьевич",1050.0,1,1.3486991e-06,True
"Английский язык 3 класс. Рабочая тетрадь к новому ФП. УМК ""Английский в фокусе"". ФГОС | Быкова Надежда Ильинична, Поспелова Марина Давидовна",628.0,1,0.0,False
"Зеленые страницы. Книга для учащихся начальных классов. УМК ""Зеленый дом (Школа России)"" | Плешаков Андрей Анатольевич",789.0,1,9.536743e-07,True
Математика 3 класс. Проверочные работы. ФГОС | Волкова Светлана Ивановна,334.0,1,0.0,False
"Английский язык 4 класс. Сборник упражнений (к новому ФП). ФГОС. УМК ""Английский в фокусе"" | Быкова Надежда Ильинична, Поспелова Марина Давидовна",398.0,1,9.536743e-07,True
Математика. Летние задания. Переходим в 5-й класс. УМК М.И.Моро (Школа России). К новому ФП. Новый ФГОС | Светин Андрей Валентинович,371.0,1,0.0,False
"Английский язык 3 класс. Spotlight 3: Workbook. Рабочая тетрадь. УМК ""Spotlight. Английский в фокусе"" | Дули Дженни, Быкова Надежда Ильинична",661.0,1,1.3486991e-06,True
"История России 6 класс. Учебник. Комплект из 2-х частей к новому ФП. ФГОС | Торкунов Анатолий Васильевич, Данилов Александр Анатольевич",1012.0,1,1.3486991e-06,True
"Русский язык 2 класс. Проверочные работы. УМК ""Школа России"" | Канакина Валентина Павловна, Щеголева Галина Сергеевна",366.0,1,0.0,False
"История России 7 класс. Учебник. Комплект из 2-х частей к новому ФП. ФГОС | Торкунов Анатолий Васильевич, Данилов Александр Анатольевич",1036.0,1,1.3486991e-06,True
Прописи для дошкольников 6-7 лет. ФГОС | Колесникова Е. Б.,247.0,1,0.0,False
География 9 класс. Атлас и контурные карты (к новому ФП). С новыми регионами РФ. ФГОС,425.0,1,0.0,False
"Окружающий мир. Тесты. 3 класс (Школа России) | Плешаков Андрей Анатольевич, Назарова Зоя Дмитриевна",358.0,2,0.0,False
"Чудо-пропись 1 класс. Комплект из 4-х частей (к новому ФП). ФГОС. УМК ""Школа России"" | Илюхина Вера Алексеевна",933.0,1,0.0,False
Физика. Сборник вопросов и задач. 7 класс | Марон Абрам Евсеевич,318.0,2,0.0,False
"География 8-9 классы. Атлас (к новому ФП). Природа, население, хозяйство. С новыми регионами РФ | Дронов Виктор Павлович",519.0,1,0.0,False
"Математические ступеньки. Пособие для детей 5-7 лет. УМК ""Преемственность"". ФГОС ДО | Волкова Светлана Ивановна",397.0,1,0.0,False
"География 7 класс. Контурные карты (к новому ФП). С новыми регионами РФ. УМК ""Полярная звезда"". ФГОС | Матвеев Алексей Владимирович",237.0,1,9.536743e-07,True
